Runs,Mins,Ball Faced,4s,6s,Strike Rate,Possition,Dismissal,Innings, Against Match,Venue,Date,Match 
40,135,95,5,0,42.10,4,hit wicket,2,England,Rajkot,2016-11-09,Test
81,172,109,8,0,74.31,4,caught,3,England,Visakhapatnam,2016-11-17,Test
167,401,267,18,0,62.54,4,caught,1,England,Visakhapatnam,2016-11-17,Test
6,11,11,0,0,54.54,4,not out,4,England,Mohali,2016-11-26,Test
62,161,127,9,0,48.81,4,caught,2,England,Mohali,2016-11-26,Test
235,515,340,25,1,69.11,4,caught,2,England,Wankhede,2016-12-08,Test
15,44,29,1,0,51.72,4,caught,2,England,Chennai,2016-12-16,Test
122,147,105,8,5,116.19,3,caught,2,England,Pune,2017-01-15,ODI
8,6,5,2,0,160.00,3,caught,1,England,Cuttack,2017-01-19,ODI
55,81,63,8,0,87.30,3,caught,2,England,Eden Gardens,2017-01-22,ODI
29,34,26,4,0,111.53,1,caught,1,England,Kanpur,2017-01-26,T20
21,17,15,2,1,140.00,1,caught,1,England,Nagpur,2017-01-29,T20
2,6,4,0,0,50.00,1,run out,1,England,Bengaluru,2017-02-01,T20
38,51,40,2,1,95.00,4,caught,3,Bangladesh,Hyderabad,2017-02-09,Test
204,295,246,24,0,82.92,4,lbw,1,Bangladesh,Hyderabad,2017-02-09,Test
13,33,37,1,0,35.13,4,bowled,4,Australia,Pune,2017-02-23,Test
0,2,2,0,0,0.00,4,caught,2,Australia,Pune,2017-02-23,Test
15,34,25,1,0,60.00,4,lbw,3,Australia,Bengaluru,2017-03-04,Test
12,25,17,2,0,70.58,4,lbw,1,Australia,Bengaluru,2017-03-04,Test
6,38,23,0,0,26.08,4,caught,2,Australia,Ranchi,2017-03-16,Test
81,108,68,6,3,119.11,3,not out,1,Pakistan,Birmingham,2017-06-04,ODI
0,5,5,0,0,0.00,3,caught,1,Sri Lanka,The Oval,2017-06-08,ODI
76,136,101,7,1,75.24,3,not out,2,South Africa,The Oval,2017-06-11,ODI
96,96,78,13,0,123.07,3,not out,2,Bangladesh,Birmingham,2017-06-15,ODI
5,11,9,0,0,55.55,3,caught,2,Pakistan,The Oval,2017-06-18,ODI
32,62,47,1,0,68.08,3,not out,1,West Indies,Port of Spain,2017-06-23,ODI
87,105,66,4,4,131.81,3,caught,1,West Indies,Port of Spain,2017-06-25,ODI
11,27,22,2,0,50.00,3,caught,1,West Indies,North Sound,2017-06-30,ODI
3,19,12,0,0,25.00,3,caught,2,West Indies,North Sound,2017-07-02,ODI
111,140,115,12,2,96.52,3,not out,2,West Indies,Kingston,2017-07-06,ODI
39,17,22,7,1,177.27,1,caught,1,West Indies,Kingston,2017-07-09,T20
103,158,136,5,1,75.73,4,not out,3,Sri Lanka,Galle,2017-07-26,Test
3,15,8,0,0,37.50,4,caught,1,Sri Lanka,Galle,2017-07-26,Test
13,31,29,2,0,44.82,4,caught,1,Sri Lanka,Colombo (SSC),2017-08-03,Test
42,119,84,3,0,50.00,4,caught,1,Sri Lanka,Pallekele,2017-08-12,Test
82,99,70,10,1,117.14,3,not out,2,Sri Lanka,Dambulla,2017-08-20,ODI
4,4,2,1,0,200.00,5,bowled,2,Sri Lanka,Pallekele,2017-08-24,ODI
3,15,11,0,0,27.27,3,caught,2,Sri Lanka,Pallekele,2017-08-27,ODI
131,140,96,17,2,136.45,3,caught,1,Sri Lanka,Colombo (RPS),2017-08-31,ODI
110,150,116,9,0,94.82,3,not out,2,Sri Lanka,Colombo (RPS),2017-09-03,ODI
82,79,54,7,1,151.85,3,caught,2,Sri Lanka,Colombo (RPS),2017-09-06,T20
0,7,4,0,0,0.00,3,caught,1,Australia,Chennai,2017-09-17,ODI
92,148,107,8,0,85.98,3,bowled,1,Australia,Eden Gardens,2017-09-21,ODI
28,58,35,2,0,80.00,3,caught,2,Australia,Indore,2017-09-24,ODI
21,23,21,3,0,100.00,3,bowled,2,Australia,Bengaluru,2017-09-28,ODI
39,73,55,2,0,70.90,3,caught,2,Australia,Nagpur,2017-10-01,ODI
22,19,14,3,0,157.14,3,not out,2,Australia,Ranchi,2017-10-07,T20
0,2,2,0,0,0.00,3,caught,1,Australia,Guwahati,2017-10-10,T20
121,203,125,9,2,96.80,3,caught,1,New Zealand,Wankhede,2017-10-22,ODI
29,40,29,3,1,100.00,3,caught,2,New Zealand,Pune,2017-10-25,ODI
113,166,106,9,1,106.60,3,caught,1,New Zealand,Kanpur,2017-10-29,ODI
26,19,11,0,3,236.36,4,not out,1,New Zealand,Delhi,2017-11-01,T20
65,59,42,8,1,154.76,4,caught,2,New Zealand,Rajkot,2017-11-04,T20
13,6,6,1,1,216.66,3,caught,1,New Zealand,Thiruvananthapuram,2017-11-07,T20
104,208,119,12,2,87.39,4,not out,3,Sri Lanka,Eden Gardens,2017-11-16,Test
0,18,11,0,0,0.00,4,lbw,1,Sri Lanka,Eden Gardens,2017-11-16,Test
213,386,267,17,2,79.77,4,caught,2,Sri Lanka,Nagpur,2017-11-24,Test
50,89,58,3,0,86.20,5,caught,3,Sri Lanka,Delhi,2017-12-02,Test
243,447,287,25,0,84.66,4,lbw,1,Sri Lanka,Delhi,2017-12-02,Test
28,62,40,4,0,70.00,4,lbw,4,South Africa,Cape Town,2018-01-05,Test
5,14,13,0,0,38.46,4,caught,2,South Africa,Cape Town,2018-01-05,Test
5,22,20,1,0,25.00,4,lbw,4,South Africa,Centurion,2018-01-13,Test
153,379,217,15,0,70.50,4,caught,2,South Africa,Centurion,2018-01-13,Test
41,131,79,6,0,51.89,5,bowled,3,South Africa,Johannesburg,2018-01-24,Test
54,146,106,9,0,50.94,4,caught,1,South Africa,Johannesburg,2018-01-24,Test
112,164,119,10,0,94.11,3,caught,2,South Africa,Durban,2018-02-01,ODI
46,64,50,4,1,92.00,3,not out,2,South Africa,Centurion,2018-02-04,ODI
160,220,159,12,2,100.62,3,not out,1,South Africa,Cape Town,2018-02-07,ODI
75,119,83,7,1,90.36,3,caught,1,South Africa,Johannesburg,2018-02-10,ODI
36,76,54,2,0,66.66,3,run out,1,South Africa,Gqeberha,2018-02-13,ODI
129,123,96,19,2,134.37,3,not out,2,South Africa,Centurion,2018-02-16,ODI
26,26,20,2,1,130.00,4,lbw,1,South Africa,Johannesburg,2018-02-18,T20
1,6,5,0,0,20.00,4,caught,1,South Africa,Centurion,2018-02-21,T20
0,1,2,0,0,0.00,6,caught,1,Ireland,Dublin (Malahide),2018-06-27,T20
9,10,8,1,0,112.50,2,caught,1,Ireland,Dublin (Malahide),2018-06-29,T20
20,30,22,0,1,90.90,4,not out,2,England,Manchester,2018-07-03,T20
47,45,38,1,2,123.68,4,caught,1,England,Cardiff,2018-07-06,T20
43,28,29,2,2,148.27,4,caught,2,England,Bristol,2018-07-08,T20
75,100,82,7,0,91.46,3,stumped,2,England,Nottingham,2018-07-12,ODI
45,65,56,2,0,80.35,3,lbw,2,England,Lord's,2018-07-14,ODI
71,98,72,8,0,98.61,3,bowled,1,England,Leeds,2018-07-17,ODI
51,185,93,4,0,54.83,4,lbw,4,England,Birmingham,2018-08-01,Test
149,277,225,22,1,66.22,4,caught,2,England,Birmingham,2018-08-01,Test
17,57,29,2,0,58.62,5,caught,3,England,Lord's,2018-08-09,Test
23,73,57,2,0,40.35,4,caught,1,England,Lord's,2018-08-09,Test
103,292,197,10,0,52.28,4,lbw,3,England,Nottingham,2018-08-18,Test
97,243,152,11,0,63.81,4,caught,1,England,Nottingham,2018-08-18,Test
58,170,130,4,0,44.61,4,caught,4,England,Southampton,2018-08-30,Test
46,100,71,6,0,64.78,4,caught,2,England,Southampton,2018-08-30,Test
0,3,1,0,0,0.00,4,caught,4,England,The Oval,2018-09-07,Test
49,112,70,6,0,70.00,4,caught,2,England,The Oval,2018-09-07,Test
139,341,230,10,0,60.43,4,caught,1,West Indies,Rajkot,2018-10-04,Test
45,86,78,5,0,57.69,4,lbw,2,West Indies,Hyderabad,2018-10-12,Test
140,130,107,21,2,130.84,3,stumped,2,West Indies,Guwahati,2018-10-21,ODI
157,217,129,13,4,121.70,3,not out,1,West Indies,Visakhapatnam,2018-10-24,ODI
107,132,119,10,1,89.91,3,bowled,2,West Indies,Pune,2018-10-27,ODI
16,22,17,2,0,94.11,3,caught,1,West Indies,Brabourne,2018-10-29,ODI
33,57,29,6,0,113.79,3,not out,2,West Indies,Thiruvananthapuram,2018-11-01,ODI
4,9,8,0,0,50.00,4,caught,2,Australia,Brisbane,2018-11-21,T20
61,55,41,4,2,148.78,3,not out,2,Australia,Sydney,2018-11-25,T20
34,132,104,3,0,32.69,4,caught,3,Australia,Adelaide,2018-12-06,Test
3,17,16,0,0,18.75,4,caught,1,Australia,Adelaide,2018-12-06,Test
17,64,40,2,0,42.50,4,caught,4,Australia,Perth,2018-12-14,Test
123,373,257,13,1,47.85,4,caught,2,Australia,Perth,2018-12-14,Test
0,6,4,0,0,0.00,4,caught,3,Australia,Melbourne,2018-12-26,Test
82,305,204,9,0,40.19,4,caught,1,Australia,Melbourne,2018-12-26,Test
23,80,59,4,0,38.98,4,caught,1,Australia,Sydney,2019-01-03,Test
3,10,8,0,0,37.50,3,caught,2,Australia,Sydney,2019-01-12,ODI
104,150,112,5,2,92.85,3,caught,2,Australia,Adelaide,2019-01-15,ODI
46,76,62,3,0,74.19,3,caught,2,Australia,Melbourne,2019-01-18,ODI
45,59,59,3,0,76.27,3,caught,2,New Zealand,Napier,2019-01-23,ODI
43,59,45,5,0,95.55,3,caught,1,New Zealand,Mount Maunganui,2019-01-26,ODI
60,94,74,6,1,81.08,3,caught,2,New Zealand,Mount Maunganui,2019-01-28,ODI
24,25,17,3,0,141.17,3,caught,1,Australia,Visakhapatnam,2019-02-24,T20
72,63,38,2,6,189.47,3,not out,1,Australia,Bengaluru,2019-02-27,T20
44,45,45,6,1,97.77,3,lbw,2,Australia,Hyderabad,2019-03-02,ODI
116,134,120,10,0,96.66,3,caught,1,Australia,Nagpur,2019-03-05,ODI
123,150,95,16,1,129.47,3,bowled,2,Australia,Ranchi,2019-03-08,ODI
7,9,6,1,0,116.66,4,caught,1,Australia,Mohali,2019-03-10,ODI
20,28,22,2,0,90.90,3,caught,2,Australia,Delhi,2019-03-13,ODI
18,44,34,1,0,52.94,3,caught,2,South Africa,Southampton,2019-06-05,ODI
82,128,77,4,2,106.49,3,caught,1,Australia,The Oval,2019-06-09,ODI
77,105,65,7,0,118.46,3,caught,1,Pakistan,Manchester,2019-06-16,ODI
67,105,63,5,0,106.34,3,caught,1,Afghanistan,Southampton,2019-06-22,ODI
72,146,82,8,0,87.80,3,caught,1,West Indies,Manchester,2019-06-27,ODI
66,103,76,7,0,86.84,3,caught,2,England,Birmingham,2019-06-30,ODI
26,45,27,3,0,96.29,3,caught,1,Bangladesh,Birmingham,2019-07-02,ODI
34,61,41,3,0,82.92,3,not out,2,Sri Lanka,Leeds,2019-07-06,ODI
1,8,6,0,0,16.66,3,lbw,2,New Zealand,Manchester,2019-07-09,ODI
19,40,29,1,0,65.51,3,caught,2,West Indies,Lauderhill,2019-08-03,T20
28,21,23,1,1,121.73,3,bowled,1,West Indies,Lauderhill,2019-08-04,T20
59,65,45,6,0,131.11,3,caught,2,West Indies,Providence,2019-08-06,T20
120,179,125,14,1,96.00,3,caught,1,West Indies,Port of Spain,2019-08-11,ODI
114,127,99,14,0,115.15,3,not out,2,West Indies,Port of Spain,2019-08-14,ODI
51,140,113,2,0,45.13,4,caught,3,West Indies,North Sound,2019-08-22,Test
9,18,12,2,0,75.00,4,caught,1,West Indies,North Sound,2019-08-22,Test
0,3,1,0,0,0.00,4,caught,3,West Indies,Kingston,2019-08-30,Test
76,211,163,10,0,46.62,4,caught,1,West Indies,Kingston,2019-08-30,Test
72,66,52,4,3,138.46,3,not out,2,South Africa,Mohali,2019-09-18,T20
9,28,15,0,0,60.00,3,caught,1,South Africa,Bengaluru,2019-09-22,T20
31,40,25,3,1,124.00,5,not out,3,South Africa,Visakhapatnam,2019-10-02,Test
20,60,40,4,0,50.00,4,caught,1,South Africa,Visakhapatnam,2019-10-02,Test
254,400,336,33,2,75.59,4,not out,1,South Africa,Pune,2019-10-10,Test
12,28,22,2,0,54.54,4,lbw,1,South Africa,Ranchi,2019-10-19,Test
0,5,2,0,0,0.00,4,lbw,2,Bangladesh,Indore,2019-11-14,Test
136,220,194,18,0,70.10,4,caught,2,Bangladesh,Eden Gardens,2019-11-22,Test
94,80,50,6,6,188.00,3,not out,2,West Indies,Hyderabad,2019-12-06,T20
19,22,17,2,0,111.76,4,caught,1,West Indies,Thiruvananthapuram,2019-12-08,T20
70,32,29,4,7,241.37,4,not out,1,West Indies,Wankhede,2019-12-11,T20
4,5,4,1,0,100.00,3,bowled,1,West Indies,Chennai,2019-12-15,ODI
0,1,1,0,0,0.00,3,caught,1,West Indies,Visakhapatnam,2019-12-18,ODI
85,111,81,9,0,104.93,3,bowled,2,West Indies,Cuttack,2019-12-22,ODI
30,0,17,1,2,176.47,4,not out,2,Sri Lanka,Indore,2020-01-07,T20
26,19,17,2,1,152.94,6,run out,1,Sri Lanka,Pune,2020-01-10,T20
16,18,14,0,1,114.28,4,caught,1,Australia,Wankhede,2020-01-14,ODI
78,95,76,6,0,102.63,3,caught,1,Australia,Rajkot,2020-01-17,ODI
89,152,91,8,0,97.80,3,bowled,2,Australia,Bengaluru,2020-01-19,ODI
45,30,32,3,1,140.62,3,caught,2,New Zealand,Auckland,2020-01-24,T20
11,21,12,1,0,91.66,3,caught,2,New Zealand,Auckland,2020-01-26,T20
38,31,27,2,1,140.74,4,caught,1,New Zealand,Hamilton,2020-01-29,T20
11,16,9,2,0,122.22,3,caught,1,New Zealand,Wellington,2020-01-31,T20
51,88,63,6,0,80.95,3,bowled,1,New Zealand,Hamilton,2020-02-05,ODI
15,31,25,1,0,60.00,3,bowled,2,New Zealand,Auckland,2020-02-08,ODI
9,20,12,0,1,75.00,3,caught,1,New Zealand,Mount Maunganui,2020-02-11,ODI
19,61,43,3,0,44.18,4,caught,3,New Zealand,Wellington,2020-02-21,Test
2,9,7,0,0,28.57,4,caught,1,New Zealand,Wellington,2020-02-21,Test
14,40,30,3,0,46.66,4,lbw,3,New Zealand,Christchurch,2020-02-29,Test
3,23,15,0,0,20.00,4,lbw,1,New Zealand,Christchurch,2020-02-29,Test
21,21,21,2,1,100.00,3,caught,2,Australia,Sydney,2020-11-27,ODI
89,120,87,7,2,102.29,3,caught,2,Australia,Sydney,2020-11-29,ODI
63,89,78,5,0,80.76,3,caught,1,Australia,Canberra,2020-12-02,ODI
9,11,9,1,0,100.00,3,caught,1,Australia,Canberra,2020-12-04,T20
40,22,24,2,2,166.66,3,caught,2,Australia,Sydney,2020-12-06,T20
85,80,61,4,3,139.34,3,caught,2,Australia,Sydney,2020-12-08,T20
4,13,8,1,0,50.00,5,caught,3,Australia,Adelaide,2020-12-17,Test
74,244,180,8,0,41.11,4,run out,1,Australia,Adelaide,2020-12-17,Test
72,153,104,9,0,69.23,4,bowled,4,England,Chennai,2021-02-05,Test
11,69,48,0,0,22.91,4,caught,2,England,Chennai,2021-02-05,Test
62,200,149,7,0,41.61,4,lbw,3,England,Chennai,2021-02-13,Test
0,6,5,0,0,0.00,4,bowled,1,England,Chennai,2021-02-13,Test
27,85,58,3,0,46.55,4,bowled,2,England,Ahmedabad,2021-02-24,Test
0,13,8,0,0,0.00,4,caught,2,England,Ahmedabad,2021-03-04,Test
0,6,5,0,0,0.00,3,caught,1,England,Ahmedabad,2021-03-12,T20
73,85,49,5,3,148.97,3,not out,2,England,Ahmedabad,2021-03-14,T20
77,80,46,8,4,167.39,4,not out,1,England,Ahmedabad,2021-03-16,T20
1,3,5,0,0,20.00,4,stumped,1,England,Ahmedabad,2021-03-18,T20
80,103,52,7,2,153.84,2,not out,1,England,Ahmedabad,2021-03-20,T20
56,65,60,6,0,93.33,3,caught,1,England,Pune,2021-03-23,ODI
66,110,79,3,1,83.54,3,caught,1,England,Pune,2021-03-26,ODI
7,14,10,1,0,70.00,3,bowled,1,England,Pune,2021-03-28,ODI
13,43,29,0,0,44.82,4,caught,3,New Zealand,Southampton,2021-06-18,Test
44,196,132,1,0,33.33,4,lbw,1,New Zealand,Southampton,2021-06-18,Test
0,2,1,0,0,0.00,4,caught,2,England,Nottingham,2021-08-04,Test
20,54,31,4,0,64.51,4,caught,3,England,Lord's,2021-08-12,Test
42,152,103,3,0,40.77,4,caught,1,England,Lord's,2021-08-12,Test
55,173,125,8,0,44.00,4,caught,3,England,Leeds,2021-08-25,Test
7,31,17,1,0,41.17,4,caught,1,England,Leeds,2021-08-25,Test
44,151,96,7,0,45.83,4,caught,3,England,The Oval,2021-09-02,Test
50,133,96,8,0,52.08,4,caught,1,England,The Oval,2021-09-02,Test
57,94,49,5,1,116.32,3,caught,1,Pakistan,Dubai (DICS),2021-10-24,T20
9,20,17,0,0,52.94,4,caught,1,New Zealand,Dubai (DICS),2021-10-31,T20
2,7,2,0,0,100.00,3,not out,2,Scotland,Dubai (DICS),2021-11-05,T20
36,111,84,1,1,42.85,4,bowled,3,New Zealand,Wankhede,2021-12-03,Test
0,8,4,0,0,0.00,4,lbw,1,New Zealand,Wankhede,2021-12-03,Test
18,41,32,4,0,56.25,5,caught,3,South Africa,Centurion,2021-12-26,Test
35,108,94,4,0,37.23,4,caught,1,South Africa,Centurion,2021-12-26,Test
29,193,143,4,0,20.27,4,caught,3,South Africa,Cape Town,2022-01-11,Test
79,273,201,12,1,39.30,4,caught,1,South Africa,Cape Town,2022-01-11,Test
51,79,63,3,0,80.95,3,caught,2,South Africa,Paarl,2022-01-19,ODI
0,4,5,0,0,0.00,3,caught,1,South Africa,Paarl,2022-01-21,ODI
65,112,84,5,0,77.38,3,caught,2,South Africa,Cape Town,2022-01-23,ODI
8,6,4,2,0,200.00,3,caught,2,West Indies,Ahmedabad,2022-02-06,ODI
18,42,30,3,0,60.00,3,caught,1,West Indies,Ahmedabad,2022-02-09,ODI
0,2,2,0,0,0.00,3,caught,1,West Indies,Ahmedabad,2022-02-11,ODI
17,25,13,1,0,130.76,3,caught,2,West Indies,Eden Gardens,2022-02-16,T20
52,57,41,7,1,126.82,3,bowled,1,West Indies,Eden Gardens,2022-02-18,T20
45,106,76,5,0,59.21,4,bowled,1,Sri Lanka,Mohali,2022-03-04,Test
13,27,16,1,0,81.25,4,lbw,3,Sri Lanka,Bengaluru,2022-03-12,Test
23,63,48,2,0,47.91,4,lbw,1,Sri Lanka,Bengaluru,2022-03-12,Test
20,64,40,4,0,50.00,4,caught,3,England,Birmingham,2022-07-01,Test
11,33,19,2,0,57.89,4,bowled,1,England,Birmingham,2022-07-01,Test
1,8,3,0,0,33.33,3,caught,1,England,Birmingham,2022-07-09,T20
11,8,6,1,1,183.33,3,caught,2,England,Nottingham,2022-07-10,T20
16,39,25,3,0,64.00,3,caught,2,England,Lord's,2022-07-14,ODI
17,27,22,3,0,77.27,3,caught,2,England,Manchester,2022-07-17,ODI
35,47,34,3,1,102.94,3,caught,2,Pakistan,Dubai (DICS),2022-08-28,T20
59,74,44,1,3,134.09,3,not out,1,Hong Kong,Dubai (DICS),2022-08-31,T20
60,77,44,4,1,136.36,3,run out,1,Pakistan,Dubai (DICS),2022-09-04,T20
0,6,4,0,0,0.00,3,bowled,1,Sri Lanka,Dubai (DICS),2022-09-06,T20
122,90,61,12,6,200.00,2,not out,1,Afghanistan,Dubai (DICS),2022-09-08,T20
2,12,7,0,0,28.57,3,caught,1,Australia,Mohali,2022-09-20,T20
11,5,6,2,0,183.33,3,bowled,2,Australia,Nagpur,2022-09-23,T20
63,89,48,3,4,131.25,3,caught,2,Australia,Hyderabad,2022-09-25,T20
3,19,9,0,0,33.33,3,caught,2,South Africa,Thiruvananthapuram,2022-09-28,T20
49,56,28,7,1,175.00,3,not out,1,South Africa,Guwahati,2022-10-02,T20
82,98,53,6,4,154.71,3,not out,2,Pakistan,Melbourne,2022-10-23,T20
62,79,44,3,2,140.90,3,not out,1,Netherlands,Sydney,2022-10-27,T20
12,13,11,2,0,109.09,3,caught,1,South Africa,Perth,2022-10-30,T20
64,84,44,8,1,145.45,3,not out,1,Bangladesh,Adelaide,2022-11-02,T20
26,36,25,2,0,104.00,3,caught,1,Zimbabwe,Melbourne,2022-11-06,T20
50,75,40,4,1,125.00,3,caught,1,England,Adelaide,2022-11-10,T20
9,22,15,1,0,60.00,3,caught,1,Bangladesh,Mirpur,2022-12-04,ODI
5,9,6,1,0,83.33,1,bowled,2,Bangladesh,Mirpur,2022-12-07,ODI
113,174,91,11,2,124.17,3,caught,1,Bangladesh,Chattogram,2022-12-10,ODI
19,40,29,0,0,65.51,4,not out,3,Bangladesh,Chattogram,2022-12-14,Test
1,8,5,0,0,20.00,4,lbw,1,Bangladesh,Chattogram,2022-12-14,Test
1,20,22,0,0,4.54,5,caught,4,Bangladesh,Mirpur,2022-12-22,Test
24,91,73,3,0,32.87,4,caught,2,Bangladesh,Mirpur,2022-12-22,Test
113,117,87,12,1,129.88,3,caught,1,Sri Lanka,Guwahati,2023-01-10,ODI
4,27,9,1,0,44.44,3,bowled,2,Sri Lanka,Eden Gardens,2023-01-12,ODI
166,173,110,13,8,150.90,3,not out,1,Sri Lanka,Thiruvananthapuram,2023-01-15,ODI
8,16,10,1,0,80.00,3,bowled,1,New Zealand,Hyderabad,2023-01-18,ODI
11,19,9,2,0,122.22,3,stumped,2,New Zealand,Raipur,2023-01-21,ODI
36,44,27,3,1,133.33,3,caught,1,New Zealand,Indore,2023-01-24,ODI
12,27,26,2,0,46.15,5,caught,2,Australia,Nagpur,2023-02-09,Test
20,47,31,3,0,64.51,4,stumped,4,Australia,Delhi,2023-02-17,Test
44,127,84,4,0,52.38,4,lbw,2,Australia,Delhi,2023-02-17,Test
13,35,26,2,0,50.00,4,lbw,3,Australia,Indore,2023-03-01,Test
22,64,52,2,0,42.30,4,lbw,1,Australia,Indore,2023-03-01,Test
186,517,364,15,0,51.09,4,caught,2,Australia,Ahmedabad,2023-03-09,Test
4,15,9,1,0,44.44,3,lbw,2,Australia,Wankhede,2023-03-17,ODI
31,79,35,4,0,88.57,3,lbw,1,Australia,Visakhapatnam,2023-03-19,ODI
54,118,72,2,1,75.00,3,caught,2,Australia,Chennai,2023-03-22,ODI
49,115,78,7,0,62.82,4,caught,4,Australia,The Oval,2023-06-07,Test
14,56,31,2,0,45.16,4,caught,2,Australia,The Oval,2023-06-07,Test
76,262,182,5,0,41.75,4,caught,2,West Indies,Roseau,2023-07-12,Test
121,272,206,11,0,58.73,4,run out,1,West Indies,Port of Spain,2023-07-20,Test
4,8,7,1,0,57.14,3,bowled,1,Pakistan,Pallekele,2023-09-02,ODI
122,147,94,9,3,129.78,3,not out,1,Pakistan,Colombo (RPS),2023-09-10,ODI
3,12,12,0,0,25.00,3,caught,1,Sri Lanka,Colombo (RPS),2023-09-12,ODI
56,63,61,5,1,91.80,3,caught,2,Australia,Rajkot,2023-09-27,ODI
85,171,116,6,0,73.27,3,caught,2,Australia,Chennai,2023-10-08,ODI
55,64,56,6,0,98.21,3,not out,2,Afghanistan,Delhi,2023-10-11,ODI
16,31,18,3,0,88.88,3,caught,2,Pakistan,Ahmedabad,2023-10-14,ODI
103,113,97,6,4,106.18,3,not out,2,Bangladesh,Pune,2023-10-19,ODI
95,154,104,8,2,91.34,3,caught,2,New Zealand,Dharamsala,2023-10-22,ODI
0,12,9,0,0,0.00,3,caught,1,England,Lucknow,2023-10-29,ODI
88,139,94,11,0,93.61,3,caught,1,Sri Lanka,Wankhede,2023-11-02,ODI
101,195,121,10,0,83.47,3,not out,1,South Africa,Eden Gardens,2023-11-05,ODI
51,69,56,5,1,91.07,3,bowled,1,Netherlands,Bengaluru,2023-11-12,ODI
117,149,113,9,2,103.53,3,caught,1,New Zealand,Wankhede,2023-11-15,ODI
54,99,63,4,0,85.71,3,bowled,1,Australia,Ahmedabad,2023-11-19,ODI
76,137,82,12,1,92.68,4,caught,3,South Africa,Centurion,2023-12-26,Test
38,96,64,5,0,59.37,4,caught,1,South Africa,Centurion,2023-12-26,Test
12,13,11,2,0,109.09,4,caught,4,South Africa,Cape Town,2024-01-03,Test
46,103,59,6,1,77.96,4,caught,2,South Africa,Cape Town,2024-01-03,Test
29,20,16,5,0,181.25,3,caught,2,Afghanistan,Indore,2024-01-14,T20
0,1,1,0,0,0.00,3,caught,1,Afghanistan,Bengaluru,2024-01-17,T20
1,13,5,0,0,20.00,2,caught,2,Ireland,New York,2024-06-05,T20
4,7,3,1,0,133.33,2,caught,1,Pakistan,New York,2024-06-09,T20
0,1,1,0,0,0.00,2,caught,2,U.S.A.,New York,2024-06-12,T20
,,,,,,,,,,,,
